Age,LoanDuration,MonthlyPayment,Amount,Gender,IncomeTotal,UseOfLoan,Education,WorkExperience,HomeOwnershipType,OccupationArea,LossGivenDefault
53,60,62.05,2125,1,354,2,4,15To25Years,1,1,0.58
50,60,84.75,3000,1,900,3,5,MoreThan25Years,1,7,0.65
42,60,63.53,1500,0,863,2,2,5To10Years,2,1,0.9
34,48,101.19,1090,1,697,7,4,5To10Years,3,1,0.75
31,60,243.19,775,1,970,7,4,10To15Years,4,7,0.9
22,60,155.89,3190,1,430,7,3,LessThan2Years,2,3,0.58
23,60,93.22,2500,1,554,6,4,2To5Years,7,3,0.65
45,60,393.93,465,0,2500,2,5,15To25Years,1,17,0.9
28,60,160.68,3500,0,418,3,2,5To10Years,2,19,0.65
28,60,153.53,3780,1,595,7,2,10To15Years,2,1,0.65
26,6,478.44,2500,1,1700,7,3,2To5Years,3,1,0.9
32,48,56.63,1000,0,932,2,2,10To15Years,2,1,0.9
34,60,149.02,4000,0,1256,2,3,15To25Years,1,6,0.9
47,60,35.56,1200,0,1800,2,3,MoreThan25Years,1,6,0.65
69,60,134.84,4785,1,1870,7,4,MoreThan25Years,4,11,0.68
28,36,25.85,500,0,800,1,4,2To5Years,2,19,0.9
37,60,81.01,2125,1,496,0,4,15To25Years,2,12,0.58
25,60,285.29,9565,0,850,0,5,5To10Years,2,4,0.58
58,60,115.77,3190,1,1500,2,4,MoreThan25Years,4,17,0.9
42,60,81.14,2655,0,850,2,4,15To25Years,1,3,0.65
42,60,66.53,1000,0,1022,0,2,10To15Years,4,11,0.9
44,60,181.18,6910,0,1300,7,4,MoreThan25Years,8,6,0.65
56,60,37.32,1060,0,758,7,2,15To25Years,1,6,0.9
31,18,434.03,5900,0,2062,2,5,10To15Years,3,10,0.9
26,60,240.36,5315,0,1400,6,2,5To10Years,3,3,0.65
49,60,30.14,1060,1,800,7,4,10To15Years,4,3,0.58
40,60,304.64,1175,0,1200,0,2,15To25Years,2,1,0.75
55,60,355.68,3250,1,2212,0,3,MoreThan25Years,1,15,0.68
30,60,21.18,500,0,1250,8,4,10To15Years,2,10,0.9
38,60,30.18,1060,1,587,7,2,15To25Years,1,10,0.65
41,48,40,1000,0,1200,7,2,15To25Years,4,8,0.9
44,60,37.53,1060,0,2100,5,3,10To15Years,9,1,0.68
34,60,182.04,1005,1,1800,7,4,5To10Years,2,9,0.75
24,60,33.03,500,0,850,7,3,2To5Years,2,9,0.9
26,60,89.19,2125,1,621,4,5,2To5Years,2,7,0.75
69,60,79.44,2800,1,634,7,2,10To15Years,1,1,0.9
39,60,168.62,970,0,900,7,3,5To10Years,2,17,0.9
32,60,28.44,1060,0,1091,6,3,10To15Years,7,15,0.58
51,60,152.98,1300,0,2250,8,5,MoreThan25Years,7,15,0.9
39,60,112.38,3000,0,2300,0,3,15To25Years,9,6,0.9
48,60,72.53,2125,1,330,2,4,MoreThan25Years,4,19,0.58
56,60,43.79,1595,0,490,7,2,15To25Years,1,6,0.58
26,60,24.02,500,1,560,0,2,10To15Years,4,9,0.65
47,60,328.16,8790,1,1900,0,4,MoreThan25Years,5,17,0.68
37,60,22.75,700,0,1200,7,3,15To25Years,3,9,0.9
33,60,43.55,1500,1,3290,1,5,10To15Years,3,9,0.9
64,60,15.14,500,1,312,2,4,MoreThan25Years,5,11,0.65
58,60,115.07,3000,0,1206,7,4,MoreThan25Years,7,17,0.9
31,60,219.95,7000,0,733,2,2,10To15Years,2,1,0.65
38,36,22.79,500,1,734,2,4,5To10Years,1,9,0.65
46,60,274.29,7060,0,2049,7,5,15To25Years,8,1,0.75
62,60,88.44,3190,1,345,2,4,MoreThan25Years,6,9,0.58
51,60,291.94,1320,0,1242,7,4,MoreThan25Years,4,1,0.75
49,60,166.35,1780,1,1600,2,4,10To15Years,4,14,0.9
48,18,162,1500,0,1200,7,4,5To10Years,2,1,0.9
48,60,87.12,1595,1,1037,7,4,10To15Years,2,9,0.75
38,60,164.26,5000,1,658,0,2,5To10Years,7,7,0.65
30,60,138.72,2945,0,1223,0,4,10To15Years,8,19,0.65
59,60,64.75,2000,0,2200,0,5,15To25Years,1,1,0.65
42,60,238.75,4285,0,2654,2,5,15To25Years,2,11,0.75
61,60,217.58,6910,1,1741,0,4,MoreThan25Years,6,17,0.68
39,60,93.48,2655,0,1200,0,2,15To25Years,1,8,0.9
42,60,16.65,530,0,1100,7,4,15To25Years,8,1,0.9
48,36,22.92,500,0,1800,7,2,MoreThan25Years,1,6,0.65
48,60,49.68,1060,0,1100,7,3,MoreThan25Years,2,1,0.75
24,60,203.53,4500,1,532,1,2,LessThan2Years,4,1,0.65
65,60,155.56,5100,0,1137,0,2,MoreThan25Years,3,1,0.68
49,60,306.86,8000,1,2160,7,4,15To25Years,1,1,0.9
34,60,194.22,6375,1,639,0,5,10To15Years,2,7,0.58
26,60,58.68,1600,1,495,2,4,5To10Years,3,7,0.65
56,60,39.65,1400,0,1845,3,4,MoreThan25Years,3,3,0.9
31,60,49.73,1060,0,1145,7,4,10To15Years,8,8,0.75
33,60,171.71,6000,0,2800,7,3,5To10Years,6,6,0.9
53,60,84.96,3000,0,2600,3,4,MoreThan25Years,1,16,0.9
26,24,33.73,530,0,1233,7,5,5To10Years,3,11,0.58
24,60,66.06,2000,0,1899,7,3,5To10Years,4,8,0.9
38,36,28.39,700,1,1097,2,4,5To10Years,1,19,0.65
36,60,245.04,5000,0,1600,3,4,10To15Years,1,1,0.65
54,60,138.67,4500,1,1342,2,4,MoreThan25Years,1,1,0.9
59,36,144.19,2500,0,1200,0,3,MoreThan25Years,1,6,0.9
46,60,27.12,530,0,832,1,2,15To25Years,1,1,0.75
35,60,54.54,1500,0,922,2,4,15To25Years,4,7,0.65
28,60,23.72,500,1,800,5,4,5To10Years,3,18,0.65
38,60,59.94,2000,1,430,7,2,5To10Years,1,16,0.65
28,36,70.48,1500,0,1518,6,4,5To10Years,8,3,0.65
41,60,268.2,7500,1,2100,7,3,2To5Years,4,19,0.9
26,60,86.29,2500,1,487,0,2,LessThan2Years,3,7,0.65
55,48,61.65,900,0,3000,7,5,15To25Years,4,1,0.9
44,60,323.64,9900,1,1064,2,2,MoreThan25Years,8,12,0.65
51,60,176.62,2535,1,1280,7,3,10To15Years,1,14,0.75
40,60,54.46,1595,1,1020,7,2,15To25Years,7,1,0.58
46,60,75.74,2500,1,1595,7,3,10To15Years,7,17,0.9
26,60,48.27,1380,1,630,2,4,5To10Years,1,7,0.58
37,60,278.73,7500,0,1068,2,3,2To5Years,1,6,0.9
43,60,107.05,925,0,743,2,3,15To25Years,1,1,0.9
41,60,311.52,10000,1,1811,0,4,5To10Years,3,17,0.9
26,12,274.31,2500,1,700,3,3,2To5Years,1,7,0.9
40,60,146.16,1710,0,1640,0,5,15To25Years,1,7,0.75
42,60,105.64,3000,0,1500,7,4,15To25Years,2,10,0.9
